"'Twas the Night (2001)"
"10 Things I Hate About You (1999)"
"101 Dalmatians (1996)"
"101 Dalmatians II: Patch's London Adventure (2003)"
"102 Dalmatians (2000)"
"20,000 Leagues Under the Sea (1954)"
"3 Men and a Baby (1987)"
"3 Men and a Little Lady (1990)"
"A Bug's Life (1998)"
"A Goofy Movie (1995)"
"A Kid in King Arthur's Court (1995)"
"A Knight For A Day (1946)"
"A Ring of Endless Light (2002)"
"Adventures in Babysitting (1987)"
"Adventures in Babysitting (2016)"
"African Cats (2011)"
"Air Mater (2011)"
"Aladdin (1992)"
"Aladdin and the King of Thieves (1996)"
"Alice in Wonderland (1951)"
"Alice in Wonderland (2010)"
"Aliens of the Deep (2005)"
"Alley Cats Strike (2000)"
"Almost Angels (1962)"
"America's Heart and Soul (2004)"
"Amy (1981)"
"An Extremely Goofy Movie (2000)"
"Annie (1999)"
"Ant-Man (2015)"
"Apollo: Missions to the Moon (2019)"
"Atlantis: Milo's Return (2003)"
"Atlantis: The Lost Empire (2001)"
"Avalon High (2010)"
"Avatar (2009)"
"Avengers: Age of Ultron (2015)"
"Babes In The Woods (1932)"
"Babes in Toyland (1961)"
"Bad Hair Day (2015)"
"Bambi (1942)"
"Bambi II (2006)"
"Beach Picnic (1939)"
"Bearly Asleep (1955)"
"Bears (2014)"
"Beauty and the Beast (1991)"
"Beauty and the Beast: The Enchanted Christmas (1997)"
"Bedknobs and Broomsticks (1971)"
"Beezy Bear (1955)"
"Before the Flood (2016)"
"Belle's Magical World (1998)"
"Benji the Hunted (1987)"
"Big Hero 6 (2014)"
"Bizarre Dinosaurs (2009)"
"Blackbeard's Ghost (1968)"
"Blank Check (1994)"
"Boat Builders (1938)"
"Bolt (2008)"
"Bone Bandit (1948)"
"Born in China (2017)"
"Brave (2012)"
"Breaking2 (2017)"
"Brink! (1998)"
"Brother Bear (2003)"
"Brother Bear 2 (2006)"
"Buffalo Dreams (2005)"
"Cadet Kelly (2002)"
"Camp Nowhere (1994)"
"Camp Rock (2008)"
"Camp Rock 2: The Final Jam (2010)"
"Can of Worms (1999)"
"Candleshoe (1977)"
"Canine Caddy (1941)"
"Captain Marvel (2019)"
"Cars (2006)"
"Cars 2 (2011)"
"Cars 3 (2017)"
